class_name,i,j,file_i,file_j,split_i,split_j,hamming,cosine
Brown Blight,122,4848,brown_blight_00063.jpg,brown_blight_00064.jpg,train,test,6,0.9615893363952637
Brown Blight,125,126,brown_blight_00067.jpg,brown_blight_00068.jpg,train,train,2,0.9674025774002075
Brown Blight,132,3998,brown_blight_00076.jpg,brown_blight_00075.jpg,train,val,6,0.9524574875831604
Brown Blight,133,3999,brown_blight_00077.jpg,brown_blight_00079.jpg,train,val,4,0.9418776631355286
Brown Blight,133,4850,brown_blight_00077.jpg,brown_blight_00078.jpg,train,test,4,0.9458665251731873
Brown Blight,140,4851,brown_blight_00089.jpg,brown_blight_00088.jpg,train,test,8,0.9530971050262451
Brown Blight,141,142,brown_blight_00091.jpg,brown_blight_00092.jpg,train,train,2,0.9714353084564209
Brown Blight,144,145,brown_blight_00094.jpg,brown_blight_00095.jpg,train,train,0,0.9932017922401428
Brown Blight,146,4002,brown_blight_00099.jpg,brown_blight_00098.jpg,train,val,0,0.9761173129081726
Brown Blight,150,4855,brown_blight_00103.jpg,brown_blight_00104.jpg,train,test,4,0.9748115539550781
Brown Blight,153,4857,brown_blight_00109.jpg,brown_blight_00108.jpg,train,test,2,0.9887829422950745
Brown Blight,157,158,brown_blight_00117.jpg,brown_blight_00118.jpg,train,train,4,0.9453010559082031
Brown Blight,157,4860,brown_blight_00117.jpg,brown_blight_00119.jpg,train,test,4,0.9513604640960693
Brown Blight,158,4860,brown_blight_00118.jpg,brown_blight_00119.jpg,train,test,2,0.9791829586029053
Brown Blight,160,161,brown_blight_00121.jpg,brown_blight_00122.jpg,train,train,2,0.9727141857147217
Brown Blight,192,194,brown_blight_00168.jpg,brown_blight_00170.jpg,train,train,2,0.9662172794342041
Brown Blight,200,201,brown_blight_00180.jpg,brown_blight_00181.jpg,train,train,8,0.9340451955795288
Brown Blight,211,4019,brown_blight_00197.jpg,brown_blight_00196.jpg,train,val,2,0.948191225528717
Brown Blight,214,215,brown_blight_00201.jpg,brown_blight_00202.jpg,train,train,0,0.9584125280380249
Brown Blight,220,4874,brown_blight_00213.jpg,brown_blight_00212.jpg,train,test,6,0.9633313417434692
Brown Blight,231,232,brown_blight_00228.jpg,brown_blight_00229.jpg,train,train,8,0.9372087121009827
Brown Blight,263,264,brown_blight_00270.jpg,brown_blight_00271.jpg,train,train,4,0.9790598750114441
Brown Blight,275,276,brown_blight_00284.jpg,brown_blight_00285.jpg,train,train,4,0.9591243267059326
Brown Blight,279,280,brown_blight_00288.jpg,brown_blight_00289.jpg,train,train,2,0.9592673182487488
Brown Blight,298,4032,brown_blight_00309.jpg,brown_blight_00310.jpg,train,val,8,0.9210579991340637
Brown Blight,413,4058,brown_blight_00477.jpg,brown_blight_00478.jpg,train,val,8,0.924412190914154
Brown Blight,3999,4850,brown_blight_00079.jpg,brown_blight_00078.jpg,val,test,0,0.9713265895843506
Brown Blight,4007,4862,brown_blight_00137.jpg,brown_blight_00136.jpg,val,test,8,0.9448123574256897
Brown Blight,4026,4878,brown_blight_00254.jpg,brown_blight_00253.jpg,val,test,4,0.9660084247589111
