rank,image_id,true_label,modal_wrong_label,agreement,unanimous_same_wrong_label,n_arms_wrong,n_arms,p_true_mean,p_modal_mean,source_prefix,near_duplicate_partner,C1_pred,C1_p_pred,R0_pred,R0_p_pred,R1_pred,R1_p_pred,R2_pred,R2_p_pred,R3_pred,R3_p_pred,TLA_pred,TLA_p_pred,expert_label,expert_notes
1,Gray Blight/gray_blight_00552.jpg,Gray Blight,Red spider,6/6,True,6,6,0.0295,0.8439,gray_blight,,Red spider,0.8372,Red spider,0.8052,Red spider,0.8697,Red spider,0.8447,Red spider,0.8599,Red spider,0.8469,,
2,Brown Blight/brown_blight_00361.jpg,Brown Blight,Tea algal leaf spot,6/6,True,6,6,0.0268,0.8406,brown_blight,,Tea algal leaf spot,0.8487,Tea algal leaf spot,0.8069,Tea algal leaf spot,0.8641,Tea algal leaf spot,0.8354,Tea algal leaf spot,0.8387,Tea algal leaf spot,0.8497,,
3,Red spider/red_spider_00425.jpg,Red spider,Gray Blight,6/6,True,6,6,0.0259,0.8373,red_spider,,Gray Blight,0.8369,Gray Blight,0.7848,Gray Blight,0.8613,Gray Blight,0.8363,Gray Blight,0.8629,Gray Blight,0.8419,,
4,Brown Blight/brown_blight_00221.jpg,Brown Blight,Tea algal leaf spot,6/6,True,6,6,0.0382,0.833,brown_blight,,Tea algal leaf spot,0.8363,Tea algal leaf spot,0.7771,Tea algal leaf spot,0.8491,Tea algal leaf spot,0.8407,Tea algal leaf spot,0.8458,Tea algal leaf spot,0.8492,,
5,Tea algal leaf spot/tea_algal_leaf_spot_00189.jpg,Tea algal leaf spot,Brown Blight,6/6,True,6,6,0.0398,0.8277,tea_algal_leaf_spot,,Brown Blight,0.837,Brown Blight,0.7641,Brown Blight,0.8585,Brown Blight,0.8297,Brown Blight,0.8328,Brown Blight,0.8443,,
6,Green mirid bug/green_mirid_bug_01099.jpg,Green mirid bug,Helopeltis,6/6,True,6,6,0.0357,0.8261,green_mirid_bug,,Helopeltis,0.8306,Helopeltis,0.7701,Helopeltis,0.855,Helopeltis,0.8193,Helopeltis,0.8496,Helopeltis,0.832,,
7,Gray Blight/gray_blight_01009.jpg,Gray Blight,Green mirid bug,6/6,True,6,6,0.0403,0.8098,gray_blight,,Green mirid bug,0.8298,Green mirid bug,0.7197,Green mirid bug,0.8626,Green mirid bug,0.8193,Green mirid bug,0.7911,Green mirid bug,0.836,,
8,Brown Blight/brown_blight_00339.jpg,Brown Blight,Tea algal leaf spot,6/6,True,6,6,0.0683,0.8007,brown_blight,,Tea algal leaf spot,0.8431,Tea algal leaf spot,0.6774,Tea algal leaf spot,0.8549,Tea algal leaf spot,0.8349,Tea algal leaf spot,0.746,Tea algal leaf spot,0.8478,,
9,Gray Blight/gray_blight_00060.jpg,Gray Blight,Red spider,6/6,True,6,6,0.0839,0.7851,gray_blight,,Red spider,0.7547,Red spider,0.6525,Red spider,0.8702,Red spider,0.8191,Red spider,0.8622,Red spider,0.7518,,
10,Green mirid bug/green_mirid_bug_00015.jpg,Green mirid bug,Healthy leaf,6/6,True,6,6,0.0586,0.7838,green_mirid_bug,,Healthy leaf,0.8227,Healthy leaf,0.7172,Healthy leaf,0.8469,Healthy leaf,0.7875,Healthy leaf,0.841,Healthy leaf,0.6876,,
11,Brown Blight/brown_blight_00222.jpg,Brown Blight,Tea algal leaf spot,6/6,True,6,6,0.1752,0.6501,brown_blight,,Tea algal leaf spot,0.8453,Tea algal leaf spot,0.4475,Tea algal leaf spot,0.5895,Tea algal leaf spot,0.721,Tea algal leaf spot,0.4471,Tea algal leaf spot,0.8499,,
12,Green mirid bug/green_mirid_bug_00666.jpg,Green mirid bug,Gray Blight,6/6,True,6,6,0.1824,0.596,green_mirid_bug,,Gray Blight,0.8075,Gray Blight,0.6871,Gray Blight,0.4912,Gray Blight,0.3336,Gray Blight,0.8258,Gray Blight,0.4306,,
13,Helopeltis/helopeltis_00464.jpg,Helopeltis,Gray Blight / Green mirid bug (tie),3/6,False,6,6,0.0909,0.4642,helopeltis,,Green mirid bug,0.8098,Gray Blight,0.692,Gray Blight,0.8513,Green mirid bug,0.5076,Gray Blight,0.7645,Green mirid bug,0.4579,,
