split,class,image_id,label,lesion_hue_deg,lesion_sat,lesion_val,lesion_frac_of_image,leaf_frac_of_image,lesion_frac_of_leaf,mask_frac_on_margin,mask_frac_on_paper,n_components,median_component_px,n_arms,n_arms_wrong,n_pair_confused,C1_pred,C2_pred,C4_pred,R0_pred,R1_pred,R2_pred,R3_pred,TLA_pred,p_colour_global_mean,p_colour_lesion_colour,p_colour_lesion_all
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_103.jpg,0,39.29,0.388,0.4298,0.05971,0.41803,0.14246,0.1172,0.0027,37,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_104.jpg,0,31.53,0.3113,0.4743,0.05808,0.44788,0.12949,0.1987,0.0014,51,10.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_105.jpg,0,27.9,0.3257,0.4806,0.07203,0.49803,0.1445,0.2476,0.0008,38,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_106.jpg,0,35.32,0.3666,0.4106,0.0561,0.24231,0.23145,0.1336,0.0004,23,16.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_108.jpg,0,36.61,0.3305,0.3987,0.07063,0.25393,0.27792,0.147,0.0008,36,9.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_109.jpg,0,41.21,0.3063,0.4294,0.05074,0.46337,0.10946,0.1453,0.0004,43,23.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_10a.jpg,0,41.15,0.3154,0.4941,0.01431,0.39894,0.03582,0.3607,0.0014,18,24.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_10b.jpg,0,27.37,0.3797,0.3817,0.08181,0.39668,0.20619,0.0689,0.0002,10,24.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_10c.jpg,0,39.41,0.3736,0.3838,0.05604,0.34014,0.16476,0.1366,0.0,34,11.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_10d.jpg,0,41.32,0.2771,0.6322,0.0046,0.33024,0.01388,0.4762,0.0043,9,12.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_10e.jpg,0,34.99,0.3217,0.4758,0.04247,0.58905,0.0721,0.077,0.0,13,30.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_10f.jpg,0,34.3,0.3758,0.4567,0.06194,0.30078,0.20521,0.2027,0.0035,38,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_110.jpg,0,37.65,0.3444,0.3377,0.06112,0.23416,0.26104,0.0619,0.0,17,14.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_115.jpg,0,26.32,0.3151,0.4286,0.04648,0.32358,0.14332,0.2697,0.0021,37,11.0,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_116.jpg,0,32.21,0.3741,0.3818,0.17554,0.26383,0.66475,0.1445,0.0009,6,12.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_118.jpg,0,43.63,0.4775,0.5148,0.08667,0.55341,0.15655,0.0177,0.0005,14,28.5,,,,,,,,,,,,,,
train,Brown Blight,Brown Blight/UNADJUSTEDNONRAW_thumb_119.jpg,0,36.33,0.3825,0.4588,0.1307,0.41026,0.3181,0.1157,0.0015,53,12.0,,,,,,,,,,,,,,
