a,b,metric,observed_delta,ci_low,ci_high,bootstrap_fraction_delta_positive,pointwise_ci_excludes_zero,interpretation,n_boot,n_test,resampling_unit,ci_type,stratified,rng_seed,experiment,baseline,seed
R1_s1337,R0_s1337,macro_f1,0.004941747590220036,-0.009138564819681925,0.019305034516305608,0.7515,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R1,R0,1337
R1_s2026,R0_s2026,macro_f1,0.002762359049316321,-0.012292476963576673,0.017398708028594723,0.6465,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R1,R0,2026
R1_s42,R0_s42,macro_f1,-0.008031742696114175,-0.024361663345488692,0.007718185932613347,0.1647,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R1,R0,42
R2_s1337,R0_s1337,macro_f1,0.0017079980141838647,-0.012535661212701478,0.015775472661818602,0.5874,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R2,R0,1337
R2_s2026,R0_s2026,macro_f1,0.0030280829784883334,-0.010211245765052116,0.016314797934431448,0.6747,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R2,R0,2026
R2_s42,R0_s42,macro_f1,-0.006415751088908794,-0.019473092254732677,0.006799972689352927,0.1708,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R2,R0,42
R3_s1337,R0_s1337,macro_f1,0.0003947504630589238,-0.015629222315505502,0.01645714507541,0.5134,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R3,R0,1337
R3_s2026,R0_s2026,macro_f1,-7.218037068634775e-05,-0.013890331474789998,0.013435057352878144,0.494,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R3,R0,2026
R3_s42,R0_s42,macro_f1,-0.012258444780977928,-0.026763278601948305,0.0017693181980723471,0.0437,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,R3,R0,42
TLA_s1337,C1_s1337,macro_f1,-0.0014980357112057696,-0.010299417264635194,0.007246581851368093,0.3703,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C1,1337
TLA_s2026,C1_s2026,macro_f1,-0.008142307852173847,-0.022814420030832686,0.005802044453296498,0.1303,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C1,2026
TLA_s42,C1_s42,macro_f1,0.0008090587314527609,-0.01031443787297836,0.011939856799195677,0.5671,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C1,42
C2_s1337,C1_s1337,macro_f1,0.0007315493865086564,-0.0116792652311349,0.013356109229982923,0.547,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,C2,C1,1337
C2_s2026,C1_s2026,macro_f1,-0.006614681779133491,-0.019734777009360528,0.005690051727917454,0.1463,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,C2,C1,2026
C2_s42,C1_s42,macro_f1,0.002060465922023136,-0.011675924327765935,0.015487362633941685,0.6166,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,C2,C1,42
C4_s1337,C1_s1337,macro_f1,-0.007304011635257623,-0.019362187491416955,0.0042060676280277496,0.1092,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,C4,C1,1337
C4_s2026,C1_s2026,macro_f1,-0.002586213058902942,-0.015575782653788709,0.010317822904527615,0.3524,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,C4,C1,2026
C4_s42,C1_s42,macro_f1,-0.008730228132599271,-0.020778840487174308,0.0026678155692915952,0.0619,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,C4,C1,42
TLA_s1337,C2_s1337,macro_f1,-0.002229585097714426,-0.014455783896267563,0.009982636917246256,0.3584,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C2,1337
TLA_s2026,C2_s2026,macro_f1,-0.0015276260730403557,-0.013865522976989949,0.011146366128756175,0.4127,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C2,2026
TLA_s42,C2_s42,macro_f1,-0.001251407190570375,-0.013266836391133574,0.01089654815314575,0.4199,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C2,42
TLA_s1337,C4_s1337,macro_f1,0.005805975924051854,-0.006385171600792141,0.01847144269398302,0.8198,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C4,1337
TLA_s2026,C4_s2026,macro_f1,-0.005556094793270905,-0.0181304528761922,0.006943782777588311,0.1866,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C4,2026
TLA_s42,C4_s42,macro_f1,0.009539286864052032,-0.0010152397223221392,0.02083633770893031,0.9619,False,descriptive pointwise interval; not multiplicity-adjusted; fraction is not a p-value,10000,808,test_image,percentile,False,42,TLA,C4,42
