experiment,run,seed,campaign_id,arch,use_hsv,lr,batch_size,acc1,macro_f1,macro_auc,params_m,gflops,token_module_params,best_epoch,f1::Brown Blight,f1::Gray Blight,f1::Green mirid bug,f1::Healthy leaf,f1::Helopeltis,f1::Red spider,f1::Tea algal leaf spot
C1,C1_s1337,1337,tea_leaf_v2,rgb,False,0.0001,32,0.9591584158415841,0.9540359191590587,0.9962891311830244,49.135249,17.121647534,0.0,69,0.927710843373494,0.9567901234567902,0.9661016949152542,1.0,0.9550561797752809,0.9466666666666667,0.9259259259259259
C1,C1_s2026,2026,tea_leaf_v2,rgb,False,0.0001,32,0.9566831683168316,0.9515244320742683,0.9953955708900318,49.135249,17.121647534,0.0,76,0.9239766081871345,0.9467084639498433,0.9686609686609686,1.0,0.9608938547486033,0.9411764705882353,0.9192546583850931
C1,C1_s42,42,tea_leaf_v2,rgb,False,0.0001,32,0.9603960396039604,0.9566273979393491,0.9935579463209744,49.135249,17.121647534,0.0,89,0.9294117647058824,0.9622641509433962,0.96,0.9964664310954063,0.9608938547486033,0.9605263157894737,0.926829268292683
C2,C2_s1337,1337,tea_leaf_v2,adapter,False,0.0001,32,0.9591584158415841,0.9547674685455674,0.997258131727425,52.680338,17.469367214,3545089.0,69,0.9142857142857143,0.94375,0.9746478873239437,0.99644128113879,0.9775280898876404,0.9536423841059603,0.9230769230769231
C2,C2_s2026,2026,tea_leaf_v2,adapter,False,0.0001,32,0.9517326732673267,0.9449097502951348,0.9952895281237188,52.680338,17.469367214,3545089.0,77,0.8982035928143712,0.9476923076923077,0.9686609686609686,0.99644128113879,0.9662921348314607,0.9536423841059603,0.8834355828220859
C2,C2_s42,42,tea_leaf_v2,adapter,False,0.0001,32,0.9641089108910891,0.9586878638613723,0.994328048179603,52.680338,17.469367214,3545089.0,73,0.9248554913294798,0.9627329192546584,0.9745042492917847,1.0,0.9720670391061452,0.9605263157894737,0.9161290322580645
C4,C4_s1337,1337,tea_leaf_v2,eca,False,0.0001,32,0.9517326732673267,0.9467319075238011,0.9962247239906018,49.136791,17.121730478,1542.0,63,0.8928571428571429,0.95,0.9570200573065902,0.99644128113879,0.9608938547486033,0.954248366013072,0.9156626506024096
C4,C4_s2026,2026,tea_leaf_v2,eca,False,0.0001,32,0.9529702970297029,0.9489382190153653,0.9959108016491286,49.136791,17.121730478,1542.0,57,0.9202453987730062,0.9470404984423676,0.9542857142857143,0.9964664310954063,0.9666666666666667,0.954248366013072,0.9036144578313253
C4,C4_s42,42,tea_leaf_v2,eca,False,0.0001,32,0.9529702970297029,0.9478971698067499,0.9944225042762288,49.136791,17.121730478,1542.0,71,0.8901734104046243,0.9526813880126183,0.9597701149425287,0.9964664310954063,0.9613259668508287,0.9668874172185431,0.9079754601226994
R0,R0_s1337,1337,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,False,0.0005,64,0.943069306930693,0.9378440250932111,0.9954950289196226,49.135249,17.121647534,,84,0.9248554913294798,0.9296636085626911,0.9482758620689655,0.9964664310954063,0.96045197740113,0.935064935064935,0.8701298701298701
R0,R0_s2026,2026,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,False,0.0005,64,0.9467821782178217,0.9435728950114228,0.9951507041016238,49.135249,17.121647534,,75,0.9310344827586207,0.9333333333333333,0.9476744186046512,0.9929078014184397,0.9497206703910615,0.9342105263157895,0.9161290322580645
R0,R0_s42,42,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,False,0.0005,64,0.9504950495049505,0.9470599394649717,0.99610074010591,49.135249,17.121647534,,58,0.9302325581395349,0.9451219512195121,0.9479768786127167,0.9929078014184397,0.9555555555555556,0.9473684210526315,0.9102564102564102
R1,R1_s1337,1337,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,True,0.0005,64,0.9467821782178217,0.9427857726834311,0.996861002732324,49.670833,17.168871598,,96,0.9302325581395349,0.9422492401215805,0.9458689458689459,0.9893238434163701,0.9545454545454546,0.9411764705882353,0.8961038961038961
R1,R1_s2026,2026,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,True,0.0005,64,0.9504950495049505,0.9463352540607392,0.9940446709054561,49.670833,17.168871598,,100,0.9248554913294798,0.9447852760736196,0.9542857142857143,0.9893238434163701,0.9662921348314607,0.9473684210526315,0.8974358974358975
R1,R1_s42,42,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,True,0.0005,64,0.9418316831683168,0.9390281967688575,0.995858391575843,49.670833,17.168871598,,98,0.9230769230769231,0.9296636085626911,0.9394812680115274,0.9893992932862191,0.9385474860335196,0.9473684210526315,0.9056603773584906
R2,R2_s1337,1337,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,True,0.0005,64,0.943069306930693,0.9395520231073949,0.9962515653593805,49.47357,17.164864688,,74,0.9302325581395349,0.9361702127659575,0.9384164222873901,0.9929078014184397,0.9392265193370166,0.9411764705882353,0.8987341772151899
R2,R2_s2026,2026,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,True,0.0005,64,0.9492574257425742,0.9466009779899112,0.9954931084384123,49.47357,17.164864688,,87,0.9239766081871345,0.9361702127659575,0.9449275362318841,0.9964664310954063,0.9662921348314607,0.9411764705882353,0.9171974522292994
R2,R2_s42,42,tea_leaf_v2,swin_small_patch4_window7_224.ms_in1k,True,0.0005,64,0.9455445544554455,0.9406441883760629,0.9943733951264134,49.47357,17.164864688,,79,0.903954802259887,0.9382716049382716,0.9507246376811594,0.9929078014184397,0.9666666666666667,0.9473684210526315,0.8846153846153846
