experiment,group,mean,std
C1,blur,0.8166305037184306,0.09001059265197435
C1,brightness/contrast,0.9432422335335312,0.012412305793185696
C1,gaussian noise,0.8621588704430914,0.06558403728491832
C1,hue shift,0.9187287324569415,0.011201601691683298
C1,jpeg compression,0.8551542847359785,0.03625939685311353
C1,saturation,0.9556615784207926,0.002677911312219445
C1,shadow,0.9558739491115246,0.0032735848020133845
C1,unperturbed,0.9536389155311656,0.003205476149112325
C1,white balance,0.949124919477264,0.006837550293280215
C2,blur,0.8168778047164363,0.09979566955207568
C2,brightness/contrast,0.9407437690957942,0.01563282562158694
C2,gaussian noise,0.8585555230964642,0.0708677112522748
C2,hue shift,0.9162425330662676,0.01446200300242946
C2,jpeg compression,0.8486554039397266,0.036606023416111085
C2,saturation,0.9536675029592837,0.006570854117579525
C2,shadow,0.9518351629956706,0.005388985830362069
C2,unperturbed,0.9527883609006915,0.007099067098115043
C2,white balance,0.9508050198027943,0.007273442988420202
C4,blur,0.8154922152074248,0.08889793677184264
C4,brightness/contrast,0.9378189885257138,0.017007538745933647
C4,gaussian noise,0.8473568747076862,0.06707435572657733
C4,hue shift,0.9071542156407991,0.017175801623540987
C4,jpeg compression,0.8371957197826913,0.03896165175335662
C4,saturation,0.9460700038832704,0.00635610052564513
C4,shadow,0.9464336475340045,0.003227052390514868
C4,unperturbed,0.9478557654486388,0.0011037383476643458
C4,white balance,0.9430131730264146,0.008826372882858587
R0,blur,0.6614390469252988,0.2289995920548278
R0,brightness/contrast,0.928617911921812,0.018024909498737925
R0,gaussian noise,0.6395961465175639,0.2627414671826111
R0,hue shift,0.8908753807777385,0.007448234861081223
R0,jpeg compression,0.7960174906048832,0.054834521924012454
R0,saturation,0.9324460977259105,0.006475151427020292
R0,shadow,0.9397582936053159,0.004964180053334034
R0,unperturbed,0.9428256198565351,0.004653180046456301
R0,white balance,0.9240296507975162,0.00834463735938167
R1,blur,0.6235156305597661,0.2653869134202434
R1,brightness/contrast,0.9290891689974058,0.014999850414584438
R1,gaussian noise,0.5887564768677073,0.31831569669350157
R1,hue shift,0.8832418916915098,0.005094957907575959
R1,jpeg compression,0.780997891048722,0.054046189599180366
R1,saturation,0.9353930247674088,0.0058569460755078075
R1,shadow,0.9403501275109888,0.003918007327040566
R1,unperturbed,0.942716407837676,0.003654022465459075
R1,white balance,0.919697793411525,0.009787010351853816
R2,blur,0.662561894614554,0.23522917696542772
R2,brightness/contrast,0.9292494741122274,0.018535331782679784
R2,gaussian noise,0.6117456424891418,0.28549498993077627
R2,hue shift,0.8901434608286154,0.005527625756826897
R2,jpeg compression,0.8028727197119493,0.041217922184241786
R2,saturation,0.936419204946641,0.003965762565205555
R2,shadow,0.941612949579492,0.004130434474104541
R2,unperturbed,0.9422657298244562,0.0037939410558917724
R2,white balance,0.9277497588381703,0.006768712926941953
R3,blur,0.6950555035175786,0.21410275472975432
R3,brightness/contrast,0.9254048973879949,0.0176398726785575
R3,gaussian noise,0.6198881664910371,0.2994297987127495
R3,hue shift,0.8884338396159981,0.008442117770594983
R3,jpeg compression,0.7907273781344638,0.04194398137097176
R3,saturation,0.9338287224519123,0.009249401183337357
R3,shadow,0.9348791442084128,0.005460032531002707
R3,unperturbed,0.9388469949603334,0.004381387348381417
R3,white balance,0.9266873103268812,0.009879881693817863
TLA,blur,0.8185203652407386,0.0900343114634905
TLA,brightness/contrast,0.938467506816533,0.01594524830652367
TLA,gaussian noise,0.8611383727162846,0.05987418508027477
TLA,hue shift,0.9128583862939261,0.015245450608059735
TLA,jpeg compression,0.8548796967617882,0.03194267551389195
TLA,saturation,0.9476970089357106,0.004890389648112784
TLA,shadow,0.9497086013641048,0.004472499203567121
TLA,unperturbed,0.9511188214469165,0.007133818603425158
TLA,white balance,0.94536754408788,0.005507664610966511
