experiment,group,mean,std
C1,blur,0.8213263783689916,0.12196503523632146
C1,brightness/contrast,0.94231669420924,0.012558560408499168
C1,gaussian noise,0.8714487564799158,0.07804019906033632
C1,hue shift,0.9281136485540977,0.0023381788713038565
C1,jpeg compression,0.8581107532412964,0.04715963628276339
C1,saturation,0.9559368942682018,0.005216103761629643
C1,shadow,0.9563221263998152,0.000292900946817244
C1,unperturbed,0.9502534294950886,
C1,white balance,0.9500167693063288,0.0004381700355095851
C2,blur,0.811343374855422,0.13858594099441549
C2,brightness/contrast,0.9372327896923265,0.01401275835101755
C2,gaussian noise,0.8599846199275942,0.08317925526620451
C2,hue shift,0.9111953029410598,0.014511060217767964
C2,jpeg compression,0.858489766393997,0.03897359942432443
C2,saturation,0.9475219064378406,0.0029989823416870245
C2,shadow,0.945486244918739,0.0015391925002430306
C2,unperturbed,0.9449097502951348,
C2,white balance,0.9431374804583518,0.00615944099846809
C4,blur,0.8022346710367092,0.1275265238300337
C4,brightness/contrast,0.9379118590417306,0.015510416068297663
C4,gaussian noise,0.8372959230813246,0.08492574617664016
C4,hue shift,0.9026688466992061,0.025183852993055294
C4,jpeg compression,0.8346272251051978,0.04609416294457521
C4,saturation,0.9426367991351948,0.003219437550586151
C4,shadow,0.9447991397951672,0.0018758646573372425
C4,unperturbed,0.9489382190153653,
C4,white balance,0.9412957882374327,0.0029233674833076036
R0,blur,0.6618569324609591,0.29160779430847267
R0,brightness/contrast,0.9298238612555911,0.017505278132469135
R0,gaussian noise,0.634987621277222,0.3049810981372794
R0,hue shift,0.8846964482007122,0.01110580455745989
R0,jpeg compression,0.8005723991216807,0.056271934856168965
R0,saturation,0.9334817379672858,0.0018367944810886855
R0,shadow,0.943261267871307,0.006816412696126163
R0,unperturbed,0.9435728950114228,
R0,white balance,0.925245066820228,0.010760424080922806
R1,blur,0.6184736486532804,0.33786109141541415
R1,brightness/contrast,0.9271776689474791,0.021248963864899238
R1,gaussian noise,0.5695486650012582,0.44336138633687605
R1,hue shift,0.8869629172746019,0.001120982923391231
R1,jpeg compression,0.7799130258654303,0.07673987510167939
R1,saturation,0.9301305256439578,0.0038199908494053044
R1,shadow,0.9392604188143889,0.0014175281549042443
R1,unperturbed,0.9463352540607392,
R1,white balance,0.9219476350718312,0.0024179340897419427
R2,blur,0.6565996490427187,0.2839385985925469
R2,brightness/contrast,0.9295555333190004,0.02201545525127249
R2,gaussian noise,0.630600731594206,0.34231699241175323
R2,hue shift,0.885742517006662,0.0045378915663419825
R2,jpeg compression,0.793356934655951,0.05302492505497633
R2,saturation,0.9402239168155156,0.005808269259861513
R2,shadow,0.943370494418986,0.004568593679025927
R2,unperturbed,0.9466009779899112,
R2,white balance,0.9274172092456672,0.01074944254628136
R3,blur,0.6520838366813239,0.32445382838257925
R3,brightness/contrast,0.9273534207634107,0.020659575414690042
R3,gaussian noise,0.5645506700681353,0.4333175822927848
R3,hue shift,0.8851471855320037,0.015125155633591255
R3,jpeg compression,0.7892636923658025,0.06373779945650332
R3,saturation,0.9387101941979599,0.007829065925432319
R3,shadow,0.9393967136407709,0.0019266273245969409
R3,unperturbed,0.9435007146407365,
R3,white balance,0.923010375775011,0.006916999478807177
TLA,blur,0.8149140577927735,0.11827552588997553
TLA,brightness/contrast,0.9360159342995791,0.01097187888313355
TLA,gaussian noise,0.8604130409671759,0.08214177500346492
TLA,hue shift,0.9124372016101374,0.020060415966196458
TLA,jpeg compression,0.8701529265811305,0.03457036202172173
TLA,saturation,0.9418442642021799,0.0028415280063697375
TLA,shadow,0.9461926882733299,0.0047748624446185065
TLA,unperturbed,0.9433821242220944,
TLA,white balance,0.9407889423826912,0.006233262178646911
