run,experiment,seed,perturbation,group,macro_f1,clean_contract,device
R0_s2026,R0,2026,unperturbed,unperturbed,0.9435728950114228,exact,cuda
R0_s2026,R0,2026,brightness_up,brightness/contrast,0.9390998524763982,exact,cuda
R0_s2026,R0,2026,brightness_down,brightness/contrast,0.9040315106624712,exact,cuda
R0_s2026,R0,2026,contrast_low,brightness/contrast,0.9420582113216932,exact,cuda
R0_s2026,R0,2026,contrast_high,brightness/contrast,0.9341058705618017,exact,cuda
R0_s2026,R0,2026,saturation_low,saturation,0.932182928134062,exact,cuda
R0_s2026,R0,2026,saturation_high,saturation,0.9347805478005097,exact,cuda
R0_s2026,R0,2026,hue_pos,hue shift,0.8925494379138247,exact,cuda
R0_s2026,R0,2026,hue_neg,hue shift,0.8768434584875999,exact,cuda
R0_s2026,R0,2026,noise_light,gaussian noise,0.8506418239038122,exact,cuda
R0_s2026,R0,2026,noise_heavy,gaussian noise,0.41933341865063173,exact,cuda
R0_s2026,R0,2026,blur_light,blur,0.868054781263332,exact,cuda
R0_s2026,R0,2026,blur_heavy,blur,0.45565908365858615,exact,cuda
R0_s2026,R0,2026,jpeg_q60,jpeg compression,0.8403626658489655,exact,cuda
R0_s2026,R0,2026,jpeg_q30,jpeg compression,0.760782132394396,exact,cuda
R0_s2026,R0,2026,shadow_left,shadow,0.948081199512104,exact,cuda
R0_s2026,R0,2026,shadow_right,shadow,0.9384413362305102,exact,cuda
R0_s2026,R0,2026,wb_warm,white balance,0.9328538356562915,exact,cuda
R0_s2026,R0,2026,wb_cool,white balance,0.9176362979841645,exact,cuda
R1_s2026,R1,2026,unperturbed,unperturbed,0.9463352540607392,exact,cuda
R1_s2026,R1,2026,brightness_up,brightness/contrast,0.9438623986029475,exact,cuda
R1_s2026,R1,2026,brightness_down,brightness/contrast,0.8964828379031194,exact,cuda
R1_s2026,R1,2026,contrast_low,brightness/contrast,0.9384171658285011,exact,cuda
R1_s2026,R1,2026,contrast_high,brightness/contrast,0.9299482734553486,exact,cuda
R1_s2026,R1,2026,saturation_low,saturation,0.9274293842102728,exact,cuda
R1_s2026,R1,2026,saturation_high,saturation,0.9328316670776429,exact,cuda
R1_s2026,R1,2026,hue_pos,hue shift,0.887755571901326,exact,cuda
R1_s2026,R1,2026,hue_neg,hue shift,0.8861702626478776,exact,cuda
R1_s2026,R1,2026,noise_light,gaussian noise,0.8830525077963319,exact,cuda
R1_s2026,R1,2026,noise_heavy,gaussian noise,0.2560448222061844,exact,cuda
R1_s2026,R1,2026,blur_light,blur,0.8573775174922077,exact,cuda
R1_s2026,R1,2026,blur_heavy,blur,0.37956977981435297,exact,cuda
R1_s2026,R1,2026,jpeg_q60,jpeg compression,0.8341763119372365,exact,cuda
R1_s2026,R1,2026,jpeg_q30,jpeg compression,0.7256497397936241,exact,cuda
R1_s2026,R1,2026,shadow_left,shadow,0.9382580750435332,exact,cuda
R1_s2026,R1,2026,shadow_right,shadow,0.9402627625852445,exact,cuda
R1_s2026,R1,2026,wb_warm,white balance,0.9202378974805125,exact,cuda
R1_s2026,R1,2026,wb_cool,white balance,0.9236573726631498,exact,cuda
R2_s2026,R2,2026,unperturbed,unperturbed,0.9466009779899112,exact,cuda
R2_s2026,R2,2026,brightness_up,brightness/contrast,0.9402162820775871,exact,cuda
R2_s2026,R2,2026,brightness_down,brightness/contrast,0.8968057282761885,exact,cuda
R2_s2026,R2,2026,contrast_low,brightness/contrast,0.9440552251014215,exact,cuda
R2_s2026,R2,2026,contrast_high,brightness/contrast,0.9371448978208043,exact,cuda
R2_s2026,R2,2026,saturation_low,saturation,0.9361168502349102,exact,cuda
R2_s2026,R2,2026,saturation_high,saturation,0.9443309833961211,exact,cuda
R2_s2026,R2,2026,hue_pos,hue shift,0.8889512909055116,exact,cuda
R2_s2026,R2,2026,hue_neg,hue shift,0.8825337431078123,exact,cuda
R2_s2026,R2,2026,noise_light,gaussian noise,0.8726553982439407,exact,cuda
R2_s2026,R2,2026,noise_heavy,gaussian noise,0.3885460649444714,exact,cuda
R2_s2026,R2,2026,blur_light,blur,0.8573745575481138,exact,cuda
R2_s2026,R2,2026,blur_heavy,blur,0.45582474053732375,exact,cuda
R2_s2026,R2,2026,jpeg_q60,jpeg compression,0.8308512187342332,exact,cuda
R2_s2026,R2,2026,jpeg_q30,jpeg compression,0.7558626505776688,exact,cuda
R2_s2026,R2,2026,shadow_left,shadow,0.9466009779899112,exact,cuda
R2_s2026,R2,2026,shadow_right,shadow,0.9401400108480608,exact,cuda
R2_s2026,R2,2026,wb_warm,white balance,0.9350182129641179,exact,cuda
R2_s2026,R2,2026,wb_cool,white balance,0.9198162055272164,exact,cuda
