run,experiment,seed,perturbation,group,macro_f1
R0_s42,R0,42,unperturbed,unperturbed,0.9470599394649717
R0_s42,R0,42,brightness_up,brightness/contrast,0.9417087907552207
R0_s42,R0,42,brightness_down,brightness/contrast,0.897107369284842
R0_s42,R0,42,contrast_low,brightness/contrast,0.9444356603370343
R0_s42,R0,42,contrast_high,brightness/contrast,0.9430190872821765
R0_s42,R0,42,saturation_low,saturation,0.9263433600182394
R0_s42,R0,42,saturation_high,saturation,0.944004679000031
R0_s42,R0,42,hue_pos,hue shift,0.8911405783157853
R0_s42,R0,42,hue_neg,hue shift,0.8912125579190983
R0_s42,R0,42,noise_light,gaussian noise,0.901141732186802
R0_s42,R0,42,noise_heavy,gaussian noise,0.5037479907068919
R0_s42,R0,42,blur_light,blur,0.8715026175700055
R0_s42,R0,42,blur_heavy,blur,0.46736824198963384
R0_s42,R0,42,jpeg_q60,jpeg compression,0.861688687635714
R0_s42,R0,42,jpeg_q30,jpeg compression,0.7842771594075166
R0_s42,R0,42,shadow_left,shadow,0.9415514498041563
R0_s42,R0,42,shadow_right,shadow,0.9407268092756838
R0_s42,R0,42,wb_warm,white balance,0.9353705945494498
R0_s42,R0,42,wb_cool,white balance,0.9188961780072014
R1_s42,R1,42,unperturbed,unperturbed,0.9390281967688575
R1_s42,R1,42,brightness_up,brightness/contrast,0.9336667303494313
R1_s42,R1,42,brightness_down,brightness/contrast,0.9152607520890171
R1_s42,R1,42,contrast_low,brightness/contrast,0.9404195338809357
R1_s42,R1,42,contrast_high,brightness/contrast,0.9331196541016205
R1_s42,R1,42,saturation_low,saturation,0.9329297914986002
R1_s42,R1,42,saturation_high,saturation,0.9346788446629609
R1_s42,R1,42,hue_pos,hue shift,0.8783781387350061
R1_s42,R1,42,hue_neg,hue shift,0.8790810721019275
R1_s42,R1,42,noise_light,gaussian noise,0.8710679954412123
R1_s42,R1,42,noise_heavy,gaussian noise,0.32643920682327476
R1_s42,R1,42,blur_light,blur,0.8584270588069673
R1_s42,R1,42,blur_heavy,blur,0.34895714751829854
R1_s42,R1,42,jpeg_q60,jpeg compression,0.8327762860301305
R1_s42,R1,42,jpeg_q30,jpeg compression,0.7518966521357514
R1_s42,R1,42,shadow_left,shadow,0.940752035245109
R1_s42,R1,42,shadow_right,shadow,0.9341582837012963
R1_s42,R1,42,wb_warm,white balance,0.9220846153404091
R1_s42,R1,42,wb_cool,white balance,0.9003403793279097
R2_s42,R2,42,unperturbed,unperturbed,0.9406441883760629
R2_s42,R2,42,brightness_up,brightness/contrast,0.9380441225835296
R2_s42,R2,42,brightness_down,brightness/contrast,0.9032721487617481
