run,experiment,seed,unperturbed,mean_stress,worst_stress,worst_condition,mean_drop,mean_retention,clean_contract,device
C1_s1337,C1,1337,0.9540359191590588,0.906878479737731,0.734663032600052,blur_heavy,0.047157439421327885,0.9505705828530071,exact,cuda
C1_s2026,C1,2026,0.9502534294950886,0.9139898572263476,0.7350840748857325,blur_heavy,0.036263572268740996,0.9618379990609353,tie_flip:1,cuda
C1_s42,C1,42,0.9566273979393493,0.9124040981796168,0.7340031594877109,blur_heavy,0.04422329975973249,0.9537716567025019,exact,cpu
C2_s1337,C2,1337,0.9547674685455674,0.9061953182868882,0.7150729590840389,blur_heavy,0.048572150258679225,0.9491267226221365,exact,cuda
C2_s2026,C2,2026,0.9449097502951348,0.905736030590851,0.713348316201152,blur_heavy,0.03917371970428385,0.9585423690547713,exact,cuda
C2_s42,C2,42,0.9586878638613724,0.9141108140450049,0.7522578691065521,blur_heavy,0.04457704981636745,0.9535020192736963,exact,cpu
C4_s1337,C4,1337,0.9467319075238012,0.8967037960506108,0.7277223288300109,blur_heavy,0.05002811147319042,0.9471570451195207,exact,cuda
C4_s2026,C4,2026,0.9489382190153652,0.897931345685966,0.7120598012553445,blur_heavy,0.05100687332939924,0.9462484782388416,exact,cuda
C4_s42,C4,42,0.94789716980675,0.9114828005413292,0.7690274923839802,blur_heavy,0.03641436926542074,0.961584051070809,exact,cpu
R0_s1337,R0,1337,0.9378440250932112,0.8364247582378038,0.2998734605297234,noise_heavy,0.10141926685540736,0.8918591320712126,exact,cuda
R0_s2026,R0,2026,0.9435728950114228,0.8493054662478419,0.4193334186506317,noise_heavy,0.09426742876358096,0.900095234547364,exact,cuda
R0_s42,R0,42,0.9470599394649716,0.861402419113638,0.4673682419896338,blur_heavy,0.08565752035133356,0.9095542776313348,exact,cpu
R1_s1337,R1,1337,0.9427857726834312,0.8413982509380757,0.3145616267464191,noise_heavy,0.10138752174535548,0.892459639630774,exact,cuda
R1_s2026,R1,2026,0.9463352540607392,0.8333991304688564,0.2560448222061844,noise_heavy,0.11293612359188276,0.8806594987270397,exact,cuda
R1_s42,R1,42,0.9390281967688576,0.8352463432105477,0.3264392068232747,noise_heavy,0.10378185355830993,0.8894795130589078,exact,cpu
R2_s1337,R2,1337,0.9395520231073948,0.8475580046464786,0.3200655636446091,noise_heavy,0.09199401846091626,0.9020873605735389,exact,cuda
R2_s2026,R2,2026,0.9466009779899112,0.8484913910464119,0.3885460649444714,noise_heavy,0.09810958694349925,0.8963559205782432,exact,cuda
R2_s42,R2,42,0.9406441883760628,0.8478187973847824,0.3470594759672316,noise_heavy,0.0928253909912804,0.9013172120357912,exact,cpu
R3_s1337,R3,1337,0.93823877555627,0.8648237644999305,0.5361254778926736,noise_heavy,0.07341501105633952,0.9217523161811205,exact,cuda
R3_s2026,R3,2026,0.9435007146407364,0.838541056643092,0.2581488692215474,noise_heavy,0.1049596579976444,0.8887550837334443,exact,cuda
R3_s42,R3,42,0.9348014946839938,0.8434051320310688,0.2890800775159115,noise_heavy,0.09139636265292495,0.9022291222546439,exact,cpu
TLA_s1337,TLA,1337,0.952537883447853,0.9080317655794856,0.7703249749312907,blur_heavy,0.044506117868367334,0.9532762752623856,exact,cuda
TLA_s2026,TLA,2026,0.9433821242220944,0.9065305544898418,0.7312806313875667,blur_heavy,0.036851569732252676,0.9609367521537043,exact,cuda
TLA_s42,TLA,42,0.957436456670802,0.9078060096085054,0.7131338547854996,blur_heavy,0.04963044706229658,0.9481631948350167,exact,cpu
